First Name,Last Name,COMMCODE,TRADECODE,ADDRESS,PHONE,EMAIL
NEDSPICE PROCESSING INDIA PRIVATE LIMITED,PEPPER               CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENUGREEK            NUTMEG/MACE CURRY POWDER        ,A,N630,"12/597-8KOOVAPADAM ,KOCHI ,KERALA  Pin:682002",09847044595,gulshan@nedspice.com
NISHANT EXPORT,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          NUTMEG/MACE CURRY POWDER        ,A,N274,"VII/179D.S.ROAD ,KOCHI ,KERALA  Pin:682 002",9447026004,nishantexport@yahoo.co.in
Indian Products (P) Limited,PEPPER               CARDAMOM SMALL       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               CURRY POWDER        ,A,I048,"Door No.604,Queens Corner-AQueens Apartments ,Bangalore ,KARNATAKA  Pin:560001",9880188809,komal@jayanti.com
PLANT LIPIDS (P) LTD.,PEPPER               CARDAMOM SMALL       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            NUTMEG/MACE CURRY POWDER         SPICE OILS & OLEORES MINT OILS           ,A,P072,"AP VIII/547KADAYIRUPPU ,KOCHI ,KERALA  Pin:682 311",9745999150,george.v@plantlipids.com
AVT MCCORMICK INGREDIENTS PVT. LTD.,PEPPER               CARDAMOM SMALL       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               NUTMEG/MACE CURRY POWDER        ,A,A558,"60 ,EGMORE, CHENNAI ,TAMIL NADU  Pin:600008",9847041712,mail@avtspice.com
AB MAURI INDIA PRIVATE LIMITED,PEPPER               CARDAMOM SMALL       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               NUTMEG/MACE CURRY POWDER        ,A,A1283,"PLOT NO.218 & 219BOMMASANDRA ,BENGALURU ,KARNATAKA  Pin:682 037",09945823970,ram.ramkumar@abmauri.com
OLAM AGRO INDIA PRIVATE LIMITED,PEPPER               CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               NUTMEG/MACE CURRY POWDER        ,A,H525,"DLF BUILDING NO.8TOWER A, GROUND FLOOR, PHASE II ,GURGAON ,HARIYANA  Pin:122002",8606012111,vrajesh.nath@olamnet.com
SYNTHITE INDUSTRIES PRIVATE LIMITED,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               TAMARIND             NUTMEG/MACE CURRY POWDER         SPICE OILS & OLEORES MINT OILS           ,A,S237,"SYNTHITE CORPORATE HOUSEVIII/683-A ,ERNAKULAM ,KERALA  Pin:682311",9387485087,vijay@synthite.com
JABS INTERNATIONAL PVT. LTD,PEPPER               CARDAMOM LARGE       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          GARLIC               NUTMEG/MACE CURRY POWDER        ,A,J286,"A-350,T.T.C.INDUSTRIAL AREAM.I.D.C.MAHAPE ,NAVI MUMBAI ,MAHARASHTRA  Pin:400 708",9820073814,jabs@jabsinternational.com
BERGWERFF ORGANIC INDIA PVT. LTD,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENUGREEK            OTHER SEEDS          GARLIC               NUTMEG/MACE CURRY POWDER        ,A,B683,"G-606SOM VIHAR ,NEW DELHI ,DELHI  Pin:110 022",0982002771,info@suminter.com
THE PEERMADE DEVELOPMENT SOCIETY,PEPPER               GINGER               TURMERIC             NUTMEG/MACE,A,P481,"IX/529, P.B.NO.11PEERMADE P.O ,IDUKKI DISTRICT ,KERALA  Pin:685 531",9447870271,pdsorganicspices@gmail.com
BAFNA ENTERPRISES,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            NUTMEG/MACE CURRY POWDER        ,A,B723,"VII/179D.S.ROAD ,JEW TOWN, COCHIN ,KERALA  Pin:682 002",9495926004,mail@bafnaenterprises.com
HERBAL ISOLATES PRIVATE LIMITED,PEPPER               CHILLIES             TURMERIC             FENUGREEK            CURRY POWDER        ,A,H028,"39/2031AJAY VIHAR ,COCHIN ,KERALA  Pin:682 016",9349671803,herbal@herbalisolates.com
ALLKOSHYS ALLSPICES,PEPPER               CARDAMOM SMALL       CHILLIES            ,A,A695,"43/339, THONDOLI HOUSE ,NATTAKOM P.O ,KERALA  Pin:686013",9847050874,allkoshys.office@gmail.com
KISHOR SPICES COMPANY,PEPPER              ,A,K069,"VI/37, JEW TOWNP.O. BOX NO.262 ,COCHIN ,Select  Pin:682 002",9447191777,kishor@md3.vsnl.net.in
ACCELERATED FREEZE DRYING COMPANY LTD,PEPPER               CHILLIES             GINGER               CORIANDER            CELERY               FENUGREEK            OTHER SEEDS          GARLIC              ,A,A015,"EP/IV/513EZHUPUNNA ,ALAPUZHA ,KERALA  Pin:688 548",8086397694,karthik@amalgamfoods.in
MOUNT SAHIYA,PEPPER               CHILLIES             TURMERIC            ,A,M009,"VI/185(151-C) ,KOTTAYAM ,KERALA  Pin:686 001",9446591609,office@pepper-india.com
GARDEN VALLEY EXPORT CORPORATION,PEPPER               CHILLIES             GINGER               GARLIC               SPICE OILS & OLEORES,A,G464,"33M.C.CHIDAMBARA ,VIRUDHUNAGAR ,TAMIL NADU  Pin:626 001",9942460624,gardenvalleyexport@gmail.com
ASIAN SPICES,PEPPER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS         ,A,A094,"KMC/IXDR. AMPURANS BUILDING ,KOTTAYAM ,KERALA  Pin:686001",9961275413,info@asianspicesindia.com
AKAY SPICES PRIVATE LIMITED,PEPPER               CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENUGREEK            GARLIC              ,A,A2576,"NO. V/315A, AMBUNADUMALAIDAMTHURUTH P O ,ERNAKULAM DISTRICT ,KERALA  Pin:683561",9747099560,dinil.tb@akay-group.com
MALABAR SPICES,PEPPER              ,A,M140,"393-A, ALANKALAM HOUSEMUTTAMBALAM P.O. ,KOTTAYAM ,KERALA  Pin:686 004",9895036654,vzachariah@web.de
HEMANAND SPICES,PEPPER              ,A,H024,"VI/37 ,KOCHI ,KERALA  Pin:682002",9447192777,kishor@md3.vsnl.net.in
BIOWIN AGRO RESEARCH,PEPPER               CARDAMOM SMALL       CHILLIES             GINGER               TURMERIC             NUTMEG/MACE,A,B949,"M.P 5/587DM.P 5/587 D ,MANANTHAVADY ,KERALA  Pin:670645",9947491099,sales@wsssindia.com
AAHA IMPEX PVT.LTD,PEPPER               CARDAMOM SMALL       CARDAMOM LARGE       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          TAMARIND             NUTMEG/MACE CURRY POWDER        ,A,A1087,"130COMMODITY EXCHANGE BUILDING ,VASHI ,MAHARASHTRA  Pin:400705",9821042471,aahaimpex@mtnl.net.in
G.R.K.AND COMPANY,PEPPER               CARDAMOM SMALL       GINGER               TURMERIC             CUMIN                CELERY               FENNEL               FENUGREEK            OTHER SEEDS          NUTMEG/MACE,A,G154,"VII/324-A, 324-BKAKKA THURUTH ROAD ,ERAMALLOOR ,KERALA  Pin:688 537",9447027827,grkeramalloor@gmail.com
EASTERN CONDIMENTS PVT LTD,PEPPER               CARDAMOM SMALL       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            OTHER SEEDS          TAMARIND             CURRY POWDER        ,A,E230,"12/188EASTERN CONDIMENTS PVT. LTD. ,IDUKKI ,KERALA  Pin:685 561",9447116649,exportsadimali@eastern.in
UNIQUE ORGANICS LIMITED,PEPPER               TURMERIC             CUMIN                FENUGREEK            SPICE OILS & OLEORES,A,U091,"E-521SITAPURA INDSUTRIAL AREA ,JAIPUR ,RAJASTHAN  Pin:302022",9351717568,unique@uniqueorganics.com
BOS NATURAL FLAVORS (P) LTD,PEPPER               CARDAMOM SMALL       CHILLIES             GINGER               TURMERIC             CORIANDER            CUMIN                FENNEL               FENUGREEK            GARLIC               NUTMEG/MACE CURRY POWDER         SPICE OILS & OLEORES MINT OILS           ,A,B639,"VI/547,  ASIAN HOUSEP P ROAD,  PATHIPALAM ,PERUMBAVOOR ,KERALA  Pin:683 556",9388637376,georgeku1968@gmail.com
